episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
-2.0,-2.0,-2.0,43.0,1,8,1056,1056,False,1,1,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-22,1776297802,4.75062370300293,4.75062370300293,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,4.75062370300293,0,1,9ffd1_00000,[-2.0],[43],0.42477713690863717,6.224886576334635,0.11173884073893228,17.60971811082628,0.0,600.965,53.248,2.559,1056,1056,32,32,1056,1,15.057142857142859,5.3428571428571425,0.0,0.6959259,0.0005,-0.10135553777217865,-0.9103472232818604,0.3911620080471039,-0.03505707532167435
-2.0,-2.0,-2.0,53.5,1,8,2112,2112,False,2,2,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-23,1776297803,1.2146923542022705,5.9653160572052,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,5.9653160572052,0,2,9ffd1_00000,"[-2.0, -2.0]","[43, 64]",0.4020197412345591,5.141724272167192,0.10222442141186432,17.587661058566397,0.0,9.77,3275.401,2.835,2112,2112,384,384,1632,2,28.4,5.4,0.0,0.3499102,0.0005,0.6489850878715515,0.08676719665527344,1.1147445440292358,0.25320443511009216
-2.0,-2.0,-2.0,53.5,0,8,3168,3168,False,2,3,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-24,1776297804,1.2107899188995361,7.176105976104736,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,7.176105976104736,0,3,9ffd1_00000,"[-2.0, -2.0]","[43, 64]",0.4020197412345591,5.141724272167192,0.10222442141186432,17.587661058566397,0.0,9.405,3402.319,2.176,3168,3168,736,736,2784,4,40.45,5.4,0.0,0.06601186,0.0005,1.3506557941436768,0.6514971256256104,1.7191169261932373,0.0734151154756546
-2.0,-2.0,-2.0,53.5,0,8,4224,4224,False,2,4,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-25,1776297805,1.1899659633636475,8.366071939468384,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,8.366071939468384,0,4,9ffd1_00000,"[-2.0, -2.0]","[43, 64]",0.4020197412345591,5.141724272167192,0.10222442141186432,17.587661058566397,0.0,9.188,3482.737,2.131,4224,4224,1088,1088,3936,6,37.1,5.4,0.0,0.02473697,0.0005,2.1219608783721924,1.5586103200912476,2.4457967281341553,-0.01969132199883461
-2.0,-2.0,-2.0,53.5,0,8,5280,5280,False,2,5,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-27,1776297807,1.2521162033081055,9.61818814277649,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,9.61818814277649,0,5,9ffd1_00000,"[-2.0, -2.0]","[43, 64]",0.4020197412345591,5.141724272167192,0.10222442141186432,17.587661058566397,0.0,9.708,3296.275,2.168,5280,5280,1440,1440,5088,8,40.8,5.4,0.0,0.09570386,0.0005,2.765005588531494,2.3581736087799072,3.0807547569274902,-0.1262933313846588
-2.0,-2.0,-2.0,53.5,0,8,6336,6336,False,2,6,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-28,1776297808,1.306861400604248,10.925049543380737,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,10.925049543380737,0,6,9ffd1_00000,"[-2.0, -2.0]","[43, 64]",0.4020197412345591,5.141724272167192,0.10222442141186432,17.587661058566397,0.0,9.212,3473.625,2.224,6336,6336,1792,1792,6240,10,36.95,5.45,0.0,0.15002464,0.0005,3.1999123096466064,2.021144390106201,3.6503217220306396,-0.21178504824638367
-2.0,-2.0,-2.0,124.33333333333333,1,8,7392,7392,False,3,7,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-29,1776297809,1.1964104175567627,12.1214599609375,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,12.1214599609375,0,7,9ffd1_00000,"[-2.0, -2.0, -2.0]","[43, 64, 266]",0.39165338379427556,4.236538174406592,0.09711425671390712,17.5198799392213,0.0,9.137,3502.221,2.132,7392,7392,2144,2144,7392,12,40.55,5.45,0.0,0.0744439,0.0005,3.6357028484344482,2.7272748947143555,4.0200018882751465,0.09185484796762466
-2.0,-2.0,-2.0,124.33333333333333,0,8,8448,8448,False,3,8,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-30,1776297810,1.1975321769714355,13.318992137908936,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,13.318992137908936,0,8,9ffd1_00000,"[-2.0, -2.0, -2.0]","[43, 64, 266]",0.39165338379427556,4.236538174406592,0.09711425671390712,17.5198799392213,0.0,9.767,3276.36,2.191,8448,8448,2496,2496,7968,13,41.400000000000006,5.45,0.0,0.0667228,0.0005,4.041654109954834,3.2234809398651123,4.560459613800049,0.08203686028718948
-2.0,-2.0,-2.0,124.33333333333333,0,8,9504,9504,False,3,9,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-32,1776297812,1.2465794086456299,14.565571546554565,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,14.565571546554565,0,9,9ffd1_00000,"[-2.0, -2.0, -2.0]","[43, 64, 266]",0.39165338379427556,4.236538174406592,0.09711425671390712,17.5198799392213,0.0,9.464,3381.319,2.108,9504,9504,2848,2848,9120,15,37.0,5.4,0.0,0.039113473,0.0005,4.318782806396484,3.8856887817382812,4.6894612312316895,0.032988496124744415
1.1920000314712524,-2.0,-1.201999992132187,194.25,1,8,10560,10560,False,4,10,a82289ee393c4ca4b6169075bcddcb07,2026-04-15_20-03-33,1776297813,1.207812786102295,15.77338433265686,2854355,atl1-1-03-003-16-2.pace.gatech.edu,172.27.149.105,15.77338433265686,0,10,9ffd1_00000,"[-2.0, -2.0, -2.0, 1.1920000314712524]","[43, 64, 266, 404]",0.38110801255736054,3.739787375526994,0.09584349089250511,17.520254893485657,0.0,9.33,3429.766,2.191,10560,10560,3200,3200,10272,17,39.1,5.5,0.0,0.037997633,0.0005,4.586908340454102,3.7836620807647705,5.021424293518066,-0.026010476052761078
